IE_NAME;IE_ACTIVE;IE_ACTIVE_FROM;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_PREVIEW_PICTURE;IE_DETAIL_PICTURE
"2 ноября открывается выставка «Самураи. 47 ронинов»";Y;2013-11-01 22:38:03;" — 
<p>Великолепная выставка, посвященная культуре воинского сословия средневековой Японии – самураев – снова в Москве! Новые артефакты, ни разу не выставлявшиеся в музеях или галереях, и лучшие хиты предыдущей выставки «Самураи. Art of War» перенесут посетителей в эпоху японского ренессанса и расскажут одну из самых невероятных легенд Японии – историю мести и доблести, коварства и преданности, историю 47 ронинов.</p>

<p>
Выставка проходит по адресу: Арт-цетр «Ветошный», Ветошный пер., 13.
<br>
Официальный сайт выставки: <!--noindex--><a href=""http://www.isamurai.ru"" rel=""nofollow"">www.isamurai.ru</a><!--/noindex-->
</p>";html;"
<p>Великолепная выставка, посвященная культуре воинского сословия средневековой Японии – самураев – снова в Москве! Новые артефакты, ни разу не выставлявшиеся в музеях или галереях, и лучшие хиты предыдущей выставки «Самураи. Art of War» перенесут посетителей в эпоху японского ренессанса и расскажут одну из самых невероятных легенд Японии – историю мести и доблести, коварства и преданности, историю 47 ронинов.</p>

<p>
Выставка проходит по адресу: Арт-цетр «Ветошный», Ветошный пер., 13.
<br>
Официальный сайт выставки: <!--noindex--><a href=""http://www.isamurai.ru"" rel=""nofollow"">www.isamurai.ru</a><!--/noindex-->
</p>";html;n_90;imgs/file248.jpg;imgs/240х240_m24.jpg
"Дорогие Гости нашей галереи!";Y;2013-09-05 18:08:23;" — Мы поработали над новым дизайном нашего сайта и надеемся, что вам понравится его устройство и новая навигация. В верхней части появились удобные кнопки для перехода в каталоги ""Мебель из Индии"", ""Мебель и предметы интерьера из Таиланда"", ""Мебель из Японии и артефакты"". Так же мы продолжаем присутствовать в социальных сетях и вы можете быть с нами в удобном для вас формате, - приглашаем присоединяться! Скоро постараемся порадовать и разделом ""фотогалерея"", в котором будут лучшие фотографии восточных интерьеров и образцов мебели из Индии, Таиланда и Японии! Ваши ""Интерьеры Махараджей"".";html;"Мы поработали над новым дизайном нашего сайта и надеемся, что вам понравится его устройство и новая навигация. В верхней части появились удобные кнопки для перехода в каталоги ""Мебель из Индии"", ""Мебель и предметы интерьера из Таиланда"", ""Мебель из Японии и артефакты"". Так же мы продолжаем присутствовать в социальных сетях и вы можете быть с нами в удобном для вас формате, - приглашаем присоединяться! Скоро постараемся порадовать и разделом ""фотогалерея"", в котором будут лучшие фотографии восточных интерьеров и образцов мебели из Индии, Таиланда и Японии! Ваши ""Интерьеры Махараджей"".";html;n_88;imgs/file246.jpg;imgs/novosty_interior02.jpg
"Изображения Будды, изящные двери храмов, украшенные столы, кресла, диванчики…все эти слоны, цветы и фрукты…Некое эстетское восприятие мира выражено тайским народом в мастерстве резьбы по дереву. В Тайланде оно близко искусству скульптуры…";Y;2013-06-04 01:01:39;" — Изображения Будды, изящные двери храмов, украшенные столы, кресла, диванчики…все эти слоны, цветы и фрукты…Некое эстетское восприятие мира выражено тайским народом в мастерстве резьбы по дереву. В Тайланде оно близко искусству скульптуры…";html;"Изображения Будды, изящные двери храмов, украшенные столы, кресла, диванчики…все эти слоны, цветы и фрукты…Некое эстетское восприятие мира выражено тайским народом в мастерстве резьбы по дереву. В Тайланде оно близко искусству скульптуры…";html;n_87;imgs/file263.jpg;imgs/ 4.jpeg
"<b>Дорогие покупатели!</b>
<br />
Приглашаем Вас на <b>распродажу текстильной коллекции 2011 года</b>. До конца июля можно воспользоваться <b><font color="red">скидкой 40%</font></b> на подушки, покрывала, наволочки и пуфики!
<br />
Желаем Вам хорошего летнего отдыха и удачных покупок в нашей галерее!";Y;2012-07-16 16:53:51;" — <b>Дорогие покупатели!</b>
<br />
Приглашаем Вас на <b>распродажу текстильной коллекции 2011 года</b>. До конца июля можно воспользоваться <b><font color=""red"">скидкой 40%</font></b> на подушки, покрывала, наволочки и пуфики!
<br />
Желаем Вам хорошего летнего отдыха и удачных покупок в нашей галерее!";html;"<b>Дорогие покупатели!</b>
<br />
Приглашаем Вас на <b>распродажу текстильной коллекции 2011 года</b>. До конца июля можно воспользоваться <b><font color=""red"">скидкой 40%</font></b> на подушки, покрывала, наволочки и пуфики!
<br />
Желаем Вам хорошего летнего отдыха и удачных покупок в нашей галерее!";html;n_85;imgs/file245.jpg;imgs/novosti1.jpg
"<p>С 10 ноября в нашей галерее проводится <b><a href="/rasprodazha_tekstilya_novogodnyaya_aktsiya/tekstilnaya_kollektsiya_po_vygodnoi_tsene_speshite/"><font color="red">новогодняя акция "Индийский текстиль"</font></a></b>, скидки до <font color="red">50%</font></b> будут на подушки, пуфы и пуфики, покрывала, шторы и скатерти. 
<br />Приглашаем Вас за покупками! 
<br />«Интерьеры Махараджей»</p>";Y;2011-11-08 22:32:40;" — <p>С 10 ноября в нашей галерее проводится <b><a href=""/rasprodazha_tekstilya_novogodnyaya_aktsiya/tekstilnaya_kollektsiya_po_vygodnoi_tsene_speshite/""><font color=""red"">новогодняя акция ""Индийский текстиль""</font></a></b>, скидки до <font color=""red"">50%</font></b> будут на подушки, пуфы и пуфики, покрывала, шторы и скатерти. 
<br />Приглашаем Вас за покупками! 
<br />«Интерьеры Махараджей»</p>";html;"<p>С 10 ноября в нашей галерее проводится <b><a href=""/rasprodazha_tekstilya_novogodnyaya_aktsiya/tekstilnaya_kollektsiya_po_vygodnoi_tsene_speshite/""><font color=""red"">новогодняя акция ""Индийский текстиль""</font></a></b>, скидки до <font color=""red"">50%</font></b> будут на подушки, пуфы и пуфики, покрывала, шторы и скатерти. 
<br />Приглашаем Вас за покупками! 
<br />«Интерьеры Махараджей»</p>";html;n_84;imgs/file220.jpg;imgs/novost 16.jpg
"<p>
<b>C 15 октября 2011</b> открывается <a href="http://www.india-fest.ru/" target="_blank"><font color="red"><b>уникальная интерактивная выставка «Загадочная Индия»</b></font></a>, генеральным партнером которой является галерея «Интерьеры Махараджей». Приглашаем Вас.
</p>";Y;2011-10-04 12:49:32;" — <p>
<b>C 15 октября 2011</b> открывается <a href=""http://www.india-fest.ru/"" target=""_blank""><font color=""red""><b>уникальная интерактивная выставка «Загадочная Индия»</b></font></a>, генеральным партнером которой является галерея «Интерьеры Махараджей». Приглашаем Вас.
</p>";html;"<p>
<b>C 15 октября 2011</b> открывается <a href=""http://www.india-fest.ru/"" target=""_blank""><font color=""red""><b>уникальная интерактивная выставка «Загадочная Индия»</b></font></a>, генеральным партнером которой является галерея «Интерьеры Махараджей». Приглашаем Вас.
</p>";html;n_83;imgs/file219.jpg;imgs/vistavkaIndia.jpg
"<p>Представляем новую <a href="http://vostok-art.ru/novoe_mebel_lampy_tekstil_predmety_interera/novaya_iyunskaya_kollektsiya_mebeli_suvenirov_i_svetilnikov/" target="_self" title="новая коллекция">летнюю коллекцию</a> мебели, предметов интерьера, сувениров и других товаров из Индии. К нам так же поступили в продажу разнообразные мозаичные индийские <a href="http://vostok-art.ru/naiti_tovar/?q=%EB%E0%EC%EF%E0" target="_self" title="лампы и светильники">лампы и светильники</a>.<br />Ждем Вас за покупками!</p>";Y;2011-06-10 17:30:10;" — <p>Представляем новую <a href=""http://vostok-art.ru/novoe_mebel_lampy_tekstil_predmety_interera/novaya_iyunskaya_kollektsiya_mebeli_suvenirov_i_svetilnikov/"" target=""_self"" title=""новая коллекция"">летнюю коллекцию</a> мебели, предметов интерьера, сувениров и других товаров из Индии. К нам так же поступили в продажу разнообразные мозаичные индийские <a href=""http://vostok-art.ru/naiti_tovar/?q=%EB%E0%EC%EF%E0"" target=""_self"" title=""лампы и светильники"">лампы и светильники</a>.<br />Ждем Вас за покупками!</p>";html;"<p>Представляем новую <a href=""http://vostok-art.ru/novoe_mebel_lampy_tekstil_predmety_interera/novaya_iyunskaya_kollektsiya_mebeli_suvenirov_i_svetilnikov/"" target=""_self"" title=""новая коллекция"">летнюю коллекцию</a> мебели, предметов интерьера, сувениров и других товаров из Индии. К нам так же поступили в продажу разнообразные мозаичные индийские <a href=""http://vostok-art.ru/naiti_tovar/?q=%EB%E0%EC%EF%E0"" target=""_self"" title=""лампы и светильники"">лампы и светильники</a>.<br />Ждем Вас за покупками!</p>";html;n_82;imgs/file218.jpg;imgs/novost1.jpg
"<p>Представляем уникальный эксклюзивный проект «Самураи: Art Of War»,
генеральным партнером которого является галерея «Интерьеры Махараджей».
Выставка открывается 27 ноября 2010 года. Приглашаем!<br>
<br>
<a href="http://www.isamurai.ru/" style="font-weight:bold; color:red">Самураи: Art Of War</a></p>";Y;2010-11-22 15:14:28;" — <p>Представляем уникальный эксклюзивный проект «Самураи: Art Of War»,
генеральным партнером которого является галерея «Интерьеры Махараджей».
Выставка открывается 27 ноября 2010 года. Приглашаем!<br>
<br>
<a href=""http://www.isamurai.ru/"" style=""font-weight:bold; color:red"">Самураи: Art Of War</a></p>";html;"<p>Представляем уникальный эксклюзивный проект «Самураи: Art Of War»,
генеральным партнером которого является галерея «Интерьеры Махараджей».
Выставка открывается 27 ноября 2010 года. Приглашаем!<br>
<br>
<a href=""http://www.isamurai.ru/"" style=""font-weight:bold; color:red"">Самураи: Art Of War</a></p>";html;n_80;imgs/file216.jpg;imgs/samurai-art-of-war.jpg
"Новое поступление мебели, предметов интерьера и подарков в галерею «Интерьеры Махараджей»! Вы можете ознакомиться с новинками в разделах <a href="/novoe_mebel_lampy_tekstil_predmety_interera/kollektsiya_vostok_art/">коллекция мебели «Восток-арт»</a> и «<a href="/novoe_mebel_lampy_tekstil_predmety_interera/predmety_interera_v_vostochnom_stile/">Предметы интерьера в восточном стиле</a>». Ждем вас за покупками!";Y;2010-11-12 15:51:20;" — Новое поступление мебели, предметов интерьера и&nbsp;подарков в&nbsp;галерею «Интерьеры Махараджей»! Вы можете ознакомиться с&nbsp;новинками в&nbsp;разделах <a href=""/novoe_mebel_lampy_tekstil_predmety_interera/kollektsiya_vostok_art/"">коллекция мебели «Восток-арт»</a> и&nbsp;«<a href=""/novoe_mebel_lampy_tekstil_predmety_interera/predmety_interera_v_vostochnom_stile/"">Предметы интерьера в восточном стиле</a>». Ждем вас за&nbsp;покупками!";html;"Новое поступление мебели, предметов интерьера и&nbsp;подарков в&nbsp;галерею «Интерьеры Махараджей»! Вы можете ознакомиться с&nbsp;новинками в&nbsp;разделах <a href=""/novoe_mebel_lampy_tekstil_predmety_interera/kollektsiya_vostok_art/"">коллекция мебели «Восток-арт»</a> и&nbsp;«<a href=""/novoe_mebel_lampy_tekstil_predmety_interera/predmety_interera_v_vostochnom_stile/"">Предметы интерьера в восточном стиле</a>». Ждем вас за&nbsp;покупками!";html;n_79;imgs/file215.jpg;imgs/novost-8-120px.jpg
